03:17:51 | DEBUG    | compare              | segment pair (0,4) fused_sim=0.7533
03:17:51 | DEBUG    | compare              | segment pair (1,0) fused_sim=0.6186
03:17:51 | DEBUG    | compare              | segment pair (1,1) fused_sim=0.7660
03:17:51 | DEBUG    | compare              | segment pair (1,2) fused_sim=0.7424
03:17:51 | DEBUG    | compare              | segment pair (1,3) fused_sim=0.7606
03:17:51 | DEBUG    | compare              | segment pair (1,4) fused_sim=0.7110
03:17:51 | DEBUG    | compare              | segment pair (2,0) fused_sim=0.6116
03:17:51 | DEBUG    | compare              | segment pair (2,1) fused_sim=0.7404
03:17:51 | DEBUG    | compare              | segment pair (2,2) fused_sim=0.7255
03:17:51 | DEBUG    | compare              | segment pair (2,3) fused_sim=0.7440
03:17:51 | DEBUG    | compare              | segment pair (2,4) fused_sim=0.7051
03:17:51 | DEBUG    | compare              | segment pair (3,0) fused_sim=0.7086
03:17:51 | DEBUG    | compare              | segment pair (3,1) fused_sim=0.7620
03:17:51 | DEBUG    | compare              | segment pair (3,2) fused_sim=0.7592
03:17:51 | DEBUG    | compare              | segment pair (3,3) fused_sim=0.7528
03:17:51 | DEBUG    | compare              | segment pair (3,4) fused_sim=0.7851
03:17:51 | DEBUG    | compare              | segment pair (4,0) fused_sim=0.6453
03:17:51 | DEBUG    | compare              | segment pair (4,1) fused_sim=0.6876
03:17:51 | DEBUG    | compare              | segment pair (4,2) fused_sim=0.6967
03:17:51 | DEBUG    | compare              | segment pair (4,3) fused_sim=0.6443
03:17:51 | DEBUG    | compare              | segment pair (4,4) fused_sim=0.7720
